full_text,sentiment
pls review tau sereman exhuma revenant,negative
hmmm orang2 bandingin wailing revenant nemu bandingin arthdal high budget drama failed segi rating popularitas kritik kebalikan review exhuma,positive
rating review exhuma mutqs,positive
kak shil seneng ngasih review review fans garis keras film horor penikmat film penasaran marketing bagus exhuma indonesia,positive
nonton exhuma review nonton besok malem takut,negative
review film exhuma 2024 penuh misteri sajian plot mengesankan,positive
males ngetik panjang2 review exhuma karna diwakilin banyakk bagusssss polll besok gw nonton,positive
exhuma seru bangett w agal nurunin ekspektasi stlh baca review bbrp alin sinepil personally i smp enjoy tuh gaada penurunan worth ndangak seat bc ga expect sold seat lmao,positive 
review exhuma kegocek review kiraiin serem mampus plot super trnyt serem cm “ kakek ” “ terbang ” bolak us korea lgsg ky “ ” trs “ horror realistis ” bagus krn watir pulang2 kebayang2,positive
seneng exhuma laris manis review bagus bagus,positive
oke review film exhuma ceritanya okee kayak dibagi chapter chapter belom seru2 gw pertengahan tuh mulaii seru pake soundnya oke tdi acting mah gausa diragukan real dukun,positive
habis nonton exhuma akting buagus story bagus chemistry oke lee dohyun ganteng laki w kayaknya bosen dohyun bisikin ganteng kruwek2 penggemar film horor ga seserem review,positive
spoiler exhuma review exhuma exhuma bagus alur ceritanya awam membingungkan pengenalan latar amp karakter kinda fast paced pergantian latar pengenalan karakter bingung,positive
review exhuma film horor serem,negative
ulasan review matang exhuma 2024 adalah buruk ,negative
ngasih review exhuma aneh bikin gabisa tidur,negative
nonton mvs exhuma review spoiler nonton maju mundur,neutral
•kdm• nonton exhuma review dongg serem ga rencana nonton makasihh,negative
24‐2 nonton modal teteh nyeletuk exhuma bagus nonton review cine crib cek jadwal tayang fiksasi jam lokasi tayang besoknya gas nonton kings kaget mallnya sampe lantai 6 wkwk,positive
review exhuma dibaca,neutral
exhuma personal review personally suka filmnya pake chapter ala ala tarantino build up story bagus jg penasaran portraying shamanism fengshui expert jg real jd horror didapet setan situasi,positive
tertipu review serem wailing ketimbang exhuma nonton anjirr nonton wailing tidur nyenyak gabisa bjirrr kebayang prajurit muluuuu,negative
gak review benerrr exhuma tuh josss banyakan nutup telinga krn takut suara2 jeng2nya pencapaian tertinggiku 2024 nonton horor bioskop ‍ keren,negative
nonton 1 keren monoton keknya meledak wkwk exhuma tau review bagus hehe,positive
review exhuma 9 10 akting klop bagus filmnya goeun serem+keren kayak dukun beneran ga berani nonton studio full ditengah film sadar bucinnya dohyun wkwk dohyun teriak,positive
tertipu review exhuma ga serem ga jumpscarenya hantunya ga diliatin,negative
review exhuma 1 ceweknya kodam kodamnnya neneknya kayak film kkn 2 setannya kayak indonesia siluman ular bola api tentara jepang endingnya gak akal ratenya 8 10 gak serem,negative
dips nonton exhuma drop review donggg aman g nonton takut horor nonton liat dohyunnnn,negative
exhuma bagus gaaa review,positive
gamau baca nonton review film exhuma sampe nonton besok wkwk,neutral
jjurli takut habis baca review exhuma aa kasep dohyun teteh goeun ku trabas,negative
review exhuma film ga nyesel nontonnya film nyediaiin tema angin occult aktivitas shamanism perdukunan korea tau liat kepercayaan dukun korea,positive
review film exhuma bagus akting aktornya bener2 gausah diragukan tegang nonton 2 jam soundnya suasananya tuh merinding exhuma kimgoeun,positive
jdi nonton exhuma gak ya… baca review bilang serem bagus… serem… tetiba takut trauma kayak nonton grudge kagak tidur 3hari 3malam… pingin nonton… huhuhu,positive
kayanya nonton exhuma review seru,positive 
review film exhuma seru anjir aaaaaak rewatch,positive
oke review exhuma 2024 wmidreview,neutral
infokan review exhuma,neutral
review exhuma worth watching tipe horror thriller jumpscares nihil jumpscares senam jantung tegang nonton seru ga ngebosenin ga plot hole acting pemainnya oke 8 5 10,positive 
review film exhuma serem2,negative
review exhuma maaf nitip tag zonauangᅠ,neutral
nonton exhuma review dongg pgn nonton takut,negative
pengen nonton exhuma tpi takut setan nonton review setan ga,negative
review exhuma horror horror kaya film hantu2 beda film sukses cerita ngerasa takut deg degan jujur nonton keknya pengen nonton,negative
review exhuma jgn anjir nonton belom fix,neutral
sliweran tl review exhuma baguss nontonn,positive
review dimen sleyer jelek2 wkwkwkkwkwkkwkw oke nonton exhuma berani,negative
review exhuma bagus duh pengen nonton,positive
krn exhuma genre horror review org2 bagus tau horor + review bagus booming bnyk fomo ikut2an nonton pilem korea laen maen bkn idol kpop oppa2 terkenal susah laku dimari,negative
exhuma review,negative
beklah ril review exhuma tipe horor kusuka ga jumpscare jantungan pure dibangun cerita ambience dibilang serem kayanya ga yh tetep ngeri ngebayangin,negative
review exhuma 8 10 tidakk serem hantunya tipis2 munculnya scene panik greget ceritanya sebenernya simple bingung sejarahnya lee hyun ciamik akting kim go eun juaraakk,negative
review exhuma bagus2 semuaaaa trauma kaya nonton wailing p s cobalah nonton wailing dijamin gabisa move on tidur,positive
review exhuma 9 10 bagus horror hantunya jumpscare yaa horror mencekam panik degdegan akhir2 tuh gw mw kabur studio lantaran bener2 mencekam jantung aing lemahhhh untung td nonton studio selimutnya,positive
review film exhuma vn yaaa ga dijelasin pake ketikan 100 bagusss,positive
review exhuma tipe film horor suka gaada jumpscare jd gadaa serem seremnya ceritanya bagus karna budaya jd kesannya ngena org asia timur nonton karna,positive
review film exhuma best weee kudu nonton horor horor jumpscare acting pemainnya top markotop goeun ngadain ritual kuburan hantunya kayak hantu kayak film2 indo pokoknya,positive
plis uda nonton exhuma review seserem film cupu film horor takutnya ketrigger,negative
review exhuma ga expect ceritanya berlayer kisah keluarga konglo bener bener awalan serem rapih dibagi bab minus alasan second half,negative
bangkeee nonton exhuma xxi gas ngeliat review cinecrib bagusss pngn nonton,positive
nitip review film exhuma pengen nonton ragu ‍,negative
liat review orgorg duluuu exhuma bagus nontooon,positive
dune part two exhuma pen nntn takut hantunya liat review rang org exhuma horrornya kek,negative
mvs exhuma 2jt penonton 4 review knetz bagus trs screening duluan indo jg reviewnya bagus ga sabar tgl 28 nonton exhuma bioskop,positive
•kdm• fyi temen2 takut nonton exhuma sutradaranya ga film horor review nonton tipikal jumpscare indo aman penakut tonton tgl 28 feb cgv cinepolis,negative
film okultisme exhuma 3 tayang meraup 1 penonton negeranya duh gak sabar mimin gasss nonton bioskop review media bagus plotnya apik,positive
•kdm• review film exhuma kripikfilm “ horror sakit jiwa ” level horrornya film wailing,negative
exhuma review bahasa filmnya paket lengkap acting pemain ciamik plot solid amp sound effect mantep tipikal film horror nakutin pake jumpscare kek horror seru teka teki tetep ganyaman serem nakutin,positive 
tiktoker suka review drakor film invite wawancara pemain exhuma,neutral
exhuma bioskop review letterboxd,neutral
review pamyo exhuma setakat ni bagus2 sekaliiii,positive
